Date,ID,PARAM,Value,Latitude,Longitude,Max Temp,Min Temp,Mean Temp,Heat Deg Days,Cool Deg Days,Total Precip
2000-06-08,08MG012,2,10.707,49.309259999999995,-121.77373,18.0,11.4,14.7,3.3,0.0,7.2
2000-06-09,08MG012,2,10.759,49.309259999999995,-121.77373,16.7,9.7,13.2,4.8,0.0,0.8
2000-06-10,08MG012,2,10.791,49.309259999999995,-121.77373,14.7,8.6,11.7,6.3,0.0,5.0
2000-06-11,08MG012,2,10.814,49.309259999999995,-121.77373,16.8,6.1,11.5,6.5,0.0,15.8
2000-06-12,08MG012,2,10.856,49.309259999999995,-121.77373,16.9,9.7,13.3,4.7,0.0,28.4
2000-06-13,08MG012,2,10.909,49.309259999999995,-121.77373,14.0,11.3,12.7,5.3,0.0,2.0
2000-06-14,08MG012,2,10.918,49.309259999999995,-121.77373,17.6,11.9,14.8,3.2,0.0,23.2
2000-06-15,08MG012,2,10.948,49.309259999999995,-121.77373,19.6,9.4,14.5,3.5,0.0,0.0
2000-06-16,08MG012,2,10.946,49.309259999999995,-121.77373,24.4,10.7,17.6,0.4,0.0,0.0
2000-06-17,08MG012,2,10.932,49.309259999999995,-121.77373,25.5,12.1,18.8,0.0,0.8,0.0
2000-06-18,08MG012,2,10.962,49.309259999999995,-121.77373,19.5,13.4,16.5,1.5,0.0,19.8
2000-06-19,08MG012,2,11.030,49.309259999999995,-121.77373,19.0,10.4,14.7,3.3,0.0,0.0
2000-06-20,08MG012,2,11.053,49.309259999999995,-121.77373,22.9,12.7,17.8,0.2,0.0,0.0
2000-06-21,08MG012,2,11.052,49.309259999999995,-121.77373,21.7,13.5,17.6,0.4,0.0,0.0
2000-06-22,08MG012,2,11.068,49.309259999999995,-121.77373,21.8,9.0,15.4,2.6,0.0,0.0
2000-06-23,08MG012,2,11.072,49.309259999999995,-121.77373,20.8,8.7,14.8,3.2,0.0,0.0
2000-06-24,08MG012,2,11.053,49.309259999999995,-121.77373,22.6,12.8,17.7,0.3,0.0,7.0
2000-06-25,08MG012,2,11.038,49.309259999999995,-121.77373,27.0,13.6,20.3,0.0,2.3,0.0
2000-06-26,08MG012,2,11.032,49.309259999999995,-121.77373,30.4,14.6,22.5,0.0,4.5,0.0
2000-06-27,08MG012,2,11.044,49.309259999999995,-121.77373,31.6,16.9,24.3,0.0,6.3,0.0
2000-06-28,08MG012,2,11.078,49.309259999999995,-121.77373,30.4,15.3,22.9,0.0,4.9,0.0
2000-06-29,08MG012,2,11.133,49.309259999999995,-121.77373,24.5,12.9,18.7,0.0,0.7,0.0
2000-06-30,08MG012,2,11.172,49.309259999999995,-121.77373,21.0,14.0,17.5,0.5,0.0,0.2
2000-07-01,08MG012,2,11.178,49.309259999999995,-121.77373,18.0,10.7,14.4,3.6,0.0,10.0
2000-07-02,08MG012,2,11.160,49.309259999999995,-121.77373,16.8,10.0,13.4,4.6,0.0,9.6
2000-07-03,08MG012,2,11.103,49.309259999999995,-121.77373,17.9,8.5,13.2,4.8,0.0,0.0
2000-07-04,08MG012,2,11.024,49.309259999999995,-121.77373,17.7,11.3,14.5,3.5,0.0,1.2
2000-07-05,08MG012,2,10.949,49.309259999999995,-121.77373,18.1,12.3,15.2,2.8,0.0,0.0
2000-07-06,08MG012,2,10.880,49.309259999999995,-121.77373,22.5,8.9,15.7,2.3,0.0,0.0
2000-07-07,08MG012,2,10.843,49.309259999999995,-121.77373,23.8,12.1,18.0,0.0,0.0,0.0
2000-07-08,08MG012,2,10.804,49.309259999999995,-121.77373,23.5,13.6,18.6,0.0,0.6,0.0
2000-07-09,08MG012,2,10.774,49.309259999999995,-121.77373,18.6,13.8,16.2,1.8,0.0,3.6
2000-07-10,08MG012,2,10.753,49.309259999999995,-121.77373,22.8,14.1,18.5,0.0,0.5,0.0
2000-07-11,08MG012,2,10.731,49.309259999999995,-121.77373,22.0,14.3,18.2,0.0,0.2,0.0
2000-07-12,08MG012,2,10.727,49.309259999999995,-121.77373,24.8,12.9,18.9,0.0,0.9,0.0
2000-07-13,08MG012,2,10.708,49.309259999999995,-121.77373,21.4,11.2,16.3,1.7,0.0,0.0
2000-07-14,08MG012,2,10.685,49.309259999999995,-121.77373,21.3,13.6,17.5,0.5,0.0,0.2
2000-07-15,08MG012,2,10.669,49.309259999999995,-121.77373,25.0,11.5,18.3,0.0,0.3,0.0
2000-07-16,08MG012,2,10.641,49.309259999999995,-121.77373,28.9,12.9,20.9,0.0,2.9,0.0
2000-07-17,08MG012,2,10.601,49.309259999999995,-121.77373,28.4,12.1,20.3,0.0,2.3,0.0
2000-07-18,08MG012,2,10.562,49.309259999999995,-121.77373,22.2,12.3,17.3,0.7,0.0,0.0
2000-07-19,08MG012,2,10.553,49.309259999999995,-121.77373,23.4,11.4,17.4,0.6,0.0,0.0
2000-07-20,08MG012,2,10.561,49.309259999999995,-121.77373,25.7,15.0,20.4,0.0,2.4,0.0
2000-07-21,08MG012,2,10.584,49.309259999999995,-121.77373,30.1,14.0,22.1,0.0,4.1,0.0
2000-07-22,08MG012,2,10.601,49.309259999999995,-121.77373,24.5,14.5,19.5,0.0,1.5,11.8
2000-07-23,08MG012,2,10.631,49.309259999999995,-121.77373,21.7,13.6,17.7,0.3,0.0,8.4
2000-07-24,08MG012,2,10.645,49.309259999999995,-121.77373,25.2,13.8,19.5,0.0,1.5,0.0
2000-07-25,08MG012,2,10.643,49.309259999999995,-121.77373,22.0,13.6,17.8,0.2,0.0,1.0
2000-07-26,08MG012,2,10.624,49.309259999999995,-121.77373,20.0,15.3,17.7,0.3,0.0,0.2
2000-07-27,08MG012,2,10.616,49.309259999999995,-121.77373,19.4,14.9,17.2,0.8,0.0,1.8
2000-07-28,08MG012,2,10.711,49.309259999999995,-121.77373,20.4,14.7,17.6,0.4,0.0,29.4
2000-07-29,08MG012,2,10.813,49.309259999999995,-121.77373,27.0,13.9,20.5,0.0,2.5,0.0
2000-07-30,08MG012,2,10.837,49.309259999999995,-121.77373,29.1,15.2,22.2,0.0,4.2,0.0
2000-07-31,08MG012,2,10.805,49.309259999999995,-121.77373,28.7,14.6,21.7,0.0,3.7,0.0
2000-08-01,08MG012,2,10.765,49.309259999999995,-121.77373,24.5,14.4,19.5,0.0,1.5,0.0
2000-08-02,08MG012,2,10.732,49.309259999999995,-121.77373,25.0,10.6,17.8,0.2,0.0,0.0
2000-08-03,08MG012,2,10.683,49.309259999999995,-121.77373,27.4,12.1,19.8,0.0,1.8,0.0
2000-08-04,08MG012,2,10.619,49.309259999999995,-121.77373,27.8,13.6,20.7,0.0,2.7,0.0
2000-08-05,08MG012,2,10.565,49.309259999999995,-121.77373,27.1,13.0,20.1,0.0,2.1,0.0
2000-08-06,08MG012,2,10.528,49.309259999999995,-121.77373,24.9,13.3,19.1,0.0,1.1,0.0
2000-08-07,08MG012,2,10.498,49.309259999999995,-121.77373,23.3,12.6,18.0,0.0,0.0,0.0
2000-08-08,08MG012,2,10.472,49.309259999999995,-121.77373,25.2,11.7,18.5,0.0,0.5,0.2
2000-08-09,08MG012,2,10.440,49.309259999999995,-121.77373,25.4,11.6,18.5,0.0,0.5,0.0
2000-08-10,08MG012,2,10.400,49.309259999999995,-121.77373,22.9,11.6,17.3,0.7,0.0,0.0
2000-08-11,08MG012,2,10.352,49.309259999999995,-121.77373,19.4,10.7,15.1,2.9,0.0,0.0
2000-08-12,08MG012,2,10.301,49.309259999999995,-121.77373,21.7,9.4,15.6,2.4,0.0,0.0
2000-08-13,08MG012,2,10.228,49.309259999999995,-121.77373,22.5,8.3,15.4,2.6,0.0,0.0
2000-08-14,08MG012,2,10.153,49.309259999999995,-121.77373,22.3,7.9,15.1,2.9,0.0,0.0
2000-08-15,08MG012,2,10.075,49.309259999999995,-121.77373,21.3,8.2,14.8,3.2,0.0,0.0
2000-08-16,08MG012,2,10.001,49.309259999999995,-121.77373,23.5,8.6,16.1,1.9,0.0,0.0
2000-08-17,08MG012,2,9.927,49.309259999999995,-121.77373,23.5,8.7,16.1,1.9,0.0,0.0
2000-08-18,08MG012,2,9.861,49.309259999999995,-121.77373,16.5,13.1,14.8,3.2,0.0,14.8
2000-08-19,08MG012,2,9.816,49.309259999999995,-121.77373,19.6,11.7,15.7,2.3,0.0,14.2
2000-08-20,08MG012,2,9.789,49.309259999999995,-121.77373,20.1,11.5,15.8,2.2,0.0,0.2
2000-08-21,08MG012,2,9.743,49.309259999999995,-121.77373,23.0,11.4,17.2,0.8,0.0,0.0
2000-08-22,08MG012,2,9.692,49.309259999999995,-121.77373,26.9,13.1,20.0,0.0,2.0,0.0
2000-08-23,08MG012,2,9.650,49.309259999999995,-121.77373,28.5,12.9,20.7,0.0,2.7,0.0
2000-08-24,08MG012,2,9.610,49.309259999999995,-121.77373,25.1,12.2,18.7,0.0,0.7,0.0
2000-08-25,08MG012,2,9.588,49.309259999999995,-121.77373,19.8,16.3,18.1,0.0,0.1,0.6
2000-08-26,08MG012,2,9.582,49.309259999999995,-121.77373,20.3,13.9,17.1,0.9,0.0,0.2
2000-08-27,08MG012,2,9.613,49.309259999999995,-121.77373,18.0,9.3,13.7,4.3,0.0,3.2
2000-08-28,08MG012,2,9.626,49.309259999999995,-121.77373,22.4,9.7,16.1,1.9,0.0,0.0
2000-08-29,08MG012,2,9.613,49.309259999999995,-121.77373,15.8,12.2,14.0,4.0,0.0,11.0
2000-08-30,08MG012,2,9.589,49.309259999999995,-121.77373,21.8,12.4,17.1,0.9,0.0,0.2
2000-08-31,08MG012,2,9.560,49.309259999999995,-121.77373,16.2,10.8,13.5,4.5,0.0,5.2
2000-09-01,08MG012,2,9.560,49.309259999999995,-121.77373,19.0,9.6,14.3,3.7,0.0,0.0
