"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-16","2017","04","16","","-2.3","","-6.4","","-4.4","","22.4","","0.0","","","M","","M","0.8","","12","","8","","48",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-17","2017","04","17","","","M","-11.3","E","","M","","M","","M","","M","","M","","M","16","","","M","","M"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-18","2017","04","18","","0.0","E","","M","","M","","M","","M","","M","","M","","M","15","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-19","2017","04","19","","5.8","","-5.6","","0.1","","17.9","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-20","2017","04","20","","3.4","","-0.5","","1.5","","16.5","","0.0","","","M","","M","0.2","","8","","2","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-21","2017","04","21","","5.7","","-2.2","","1.8","","16.2","","0.0","","","M","","M","0.6","","","","2","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-22","2017","04","22","","-1.9","","-5.1","","-3.5","","21.5","","0.0","","","M","","M","0.0","","1","","34","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-23","2017","04","23","","-1.4","","-7.0","","-4.2","","22.2","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-24","2017","04","24","","1.5","","-6.5","","-2.5","","20.5","","0.0","","","M","","M","0.0","","0","T","7","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-25","2017","04","25","","0.9","","-8.0","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","6","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-26","2017","04","26","","1.3","","-6.5","","-2.6","","20.6","","0.0","","","M","","M","0.0","","0","T","5","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-27","2017","04","27","","1.8","E","","M","","M","","M","","M","","M","","M","","M","0","T","33","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-28","2017","04","28","","3.9","","-4.2","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","32","","33",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-29","2017","04","29","","7.9","","-3.4","","2.3","","15.7","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-30","2017","04","30","","8.1","","-0.1","","4.0","","14.0","","0.0","","","M","","M","0.0","","0","T","3","","33",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-01","2017","05","01","","10.8","","1.9","","6.4","","11.6","","0.0","","","M","","M","0.0","","","","6","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-02","2017","05","02","","8.9","","0.4","","4.7","","13.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-03","2017","05","03","","5.3","","-0.2","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","36","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-04","2017","05","04","","8.0","","-0.5","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","18","","33",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-05","2017","05","05","","4.3","","0.9","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","5","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-06","2017","05","06","","8.0","","-0.2","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","7","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-07","2017","05","07","","10.2","","3.2","","6.7","","11.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-08","2017","05","08","","7.9","","3.5","","5.7","","12.3","","0.0","","","M","","M","1.9","","","","13","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-09","2017","05","09","","4.0","","1.6","","2.8","","15.2","","0.0","","","M","","M","1.0","","","","35","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-10","2017","05","10","","2.3","","-0.2","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","34","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-11","2017","05","11","","2.2","","0.1","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-05-12","2017","05","12","","3.9","E","-0.2","E","1.9","E","16.1","E","0.0","E","","M","","M","","M","","","","","<31",""
